id;name;size;team;country;speciality;academic role;ph role
105;Francesca Benatti;1;EN;EN;0;;reviewers
106;Fred Gibbs;12;EN;EN;history;;editor
107;Frederik Elwert;10;EN;DE;religious studies;Phd;reviewers
108;Géraldine Castel;1;FR;FR;0;;translator
109;Gabi Kirilloff;1;EN;US;english studies;Phd;authors
110;Gabriel Calarco;2;ES;ES;0;;authors
111;Gabriela Elgarrista;1;ES;ES;0;;reviewers
112;Gabriela Kucuruza;3;PT;;0;;translator
113;Gimena del Río Riande;1;ES;ES;library science;;authors
114;Gimena del Rio Riande;1;ES;ES;0;;translator
115;Go Sugimoto;1;EN;AT;data analysis; None;authors
116;Grant Wythoff;1;EN;EN;literature;;authors
117;Guillaume Florent;1;FR;FR;0;;reviewers
118;Gustavo Candela;2;FALSE;ES;0;Research Engineer;authors
119;Guy McClellan;1;EN;EN;0;;reviewers
120;Gwenaëlle Patat;1;FR;FR;0;;editor
121;Halle Burns;1;EN;US;library science;Graduate Assistant;authors
122;HD CAICYT Lab team;1;ES;ES;0;;translator
123;Heather Froehlich;1;EN;GB;gender studies;Phd;authors
124;Hugo Bonin;1;FR;CA;political science;Phd;translator
125;Iñaki Cano;1;ES;ES;0;;reviewers
126;Ian Araujo;4;PT;;0;;reviewers
127;Ian Milligan;14;EN;CA;history;Intern;editor
128;Ignacio Rodríguez;1;ES;IT;hispanic studies; None;reviewers
129;Isabelle Gribomont;1;FR;FR;0;;reviewers
130;Ivo Veiga;2;PT;GB;political science;Phd;reviewers
131;Jack Pay;1;EN;EN;0;;reviewers
132;Jacob W. Greene;1;EN;EN;literature;;authors
133;Jairo A. Melo;20;ES;DE;political science;Associate Professor;reviewers
134;Jairo Antonio Melo Flórez;1;ES;ES;0;;authors
135;Jairo Melo;1;ES;ES;0;;reviewers
136;James Baker;6;EN;UK;digital history;;authors
137;Jamie Howe;1;EN;EN;0;;reviewers
138;Jan Rybicki;1;EN;PL;0;Magister;reviewers
139;Jane Winters;1;EN;EN;0;;reviewers
140;Jason Crider;1;EN;US;english studies;Graduate Research Fellow;reviewers
141;Jason Heppler;1;EN;US;library science;Academic Technology Specialist;reviewers
142;Jean-Luc Mirepoix;1;FR;FR;0;;reviewers
143;Jeff Blackadar;1;EN;CA;ICS;Bachelor;authors
144;Jeff Veitch;1;EN;GB;english studies;MPhil;reviewers
145;Jennifer Isasi;19;ES;US;hispanic studies;CLIR/DLF Postdoctoral Fellow in Data Curation for Latin American and Latina/o Studies;reviewers
146;Jeri Wieringa;5;EN;US;history;Phd;editor
147;Jesse Sadler;2;EN;EN;0;;reviewers
148;Jessica Otis;1;EN;US;digital humanities;Digital Humanities Specialist;authors
149;Jessica Parr;4;EN;US;history;Project Assistant;editor
150;Jim Clifford;22;EN;CA;history;Associate Professor;reviewers
