pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total contrib;orcid_id;have_orcid;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3
Alicia Calvo;26/04/2017;26/04/2017;0;0;0;0;1;0;0;0;0;0;1;1;;0;;;;;;;;;;;;;;;
Gabriel Calarco;01/03/2021;14/12/2021;0;0;0;0;2;1;0;0;1;0;0;2;;0;;;;;;;;;;;;;;;
Gimena del Río Riande;14/12/2021;14/12/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-8997-5415;1;;;;;;;;;;;;;;;Special and Area Studies Collection, George A. Smathers Libraries
Melissa Jerome;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;0;0;1;0000-0001-8251-7131;1;;Project Manager;Librarian;;Gainesville;Gainesville;;US;US;;University of Florida;University of Florida;;George A. Smathers Libraries;
Aldo Barriente;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;0;0;1;;0;;;;;;;;;;;;;;;
María Dolores Sáez;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;1;;0;;;;;;;;;;;;;;;
María Pilar Escobar;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-8977-7873;1;;;;;;;;;;;;;;;
Manuel Marco Such;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-4145-0521;1;;;;;;;;;;;;;;;
HD CAICYT Lab team;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;
Gimena del Rio Riande;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;1;0000-0002-8997-5415;1;;;;;;;;;;;;;;;
Nidia Hernández;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;1;;0;;;;;;;;;;;;;;;
Romina De León;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;1;0000-0003-2495-7213;1;Técnico auxiliar;;;Buenos Aires;;;AR;;;Consejo Nacional de Investigaciones Cientificas y Tecnicas;;;IDEHU ;;
Raffaele Viglianti;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;1;0000-0003-3094-139X;1;Phd;;;London;;;GB;;;" ""King's College London""";;;Department of Digital Humanities;;
Kahlila Chaar-Pérez;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;0;0;1;1;0000-0001-7038-5450;1;;;;;;;;;;;;;;;
Mathilda Shepard;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;0;0;1;1;0000-0002-3416-448X;1;;;;;;;;;;;;;;;Department of Art History
Ulrike Henny-Krahmer;31/10/2018;31/10/2018;0;0;0;0;1;0;0;0;1;0;0;1;0000-0003-2852-065X;1;Research Assistant;Research Assistant;Research Assistant;Cologne;Wurzburg;Cologne;DE;DE;DE;University of Cologne;University of Würzburg;University of Cologne;Cologne Center for eHumanities;Chair of Computational Philology;
Pedro Carrillo;02/08/2018;02/08/2018;0;0;0;0;1;0;0;0;0;0;1;1;;0;;;;;;;;;;;;;;;
Marcelo Raimundo;28/06/2021;28/06/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-0200-6399;1;;;;;;;;;;;;;;;
