pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role1;role2;role3;city1;city2;city3;country1;country2;country3;institution1;institution2;institution3;speciality1;speciality2;speciality3;role1;role2;role3;speciality_sofia;institution_sofia;year_start_sofia;country sofia;city sofia;institution_clean;year_start_sofia;country sofia;city sofia;;;;;;;;;;;
Adam Crymble;27/06/2012;22/05/2019;7;0;46;0;17;20;5;38;0;63;0000-0003-4343-0265;1;0;1;0;1;1;1;1;0;;Senior Lecturer;Lecturer;;Hatfield;London;;GB;GB;;University of Hertfordshire;University College London;;History;;;Phd;Lecturer;digital history; University College London;2011;UK;London; University College London;2011;UK;London;;;;;;;;;;;
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;22;0000-0003-2004-5161;1;0;1;0;0;1;1;0;0;;;;;;;;;;;;;;;;Phd;Project Manager;Research Assistant;history;;;;;;2012;;;;;;;;;;;;;
Antoine Champigny;19/06/2019;19/06/2019;0;1;0;0;0;0;1;0;0;1;;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;Master;Post-doc;;;;;;;;2019;;;;;;;;;;;;;
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;20;0000-0003-4734-9894;1;0;1;0;0;1;1;1;0;Phd;;;Cambridge;;;US;;;Massachusetts Institute of Technology;;;History, Anthropology, STS;;; None;;;history;;;;;;2012;US;Cambridge;;;;;;;;;;;
Miriam Posner;17/07/2012;24/02/2016;4;0;19;0;0;2;0;17;0;19;;0;0;1;0;0;1;0;1;0;;;;;;;;;;;;;;;;Phd;Assistant Professor;Digital Humanities Specialist;digital humanities;;;;;;2012;;;;;;;;;;;;;
Jennifer Isasi;15/03/2018;16/11/2021;3;0;0;0;19;1;8;6;4;19;0000-0002-4295-895X;1;0;0;0;1;1;1;1;4;Graduate Research Assistant;CLIR/DLF Postdoctoral Fellow in Data Curation for Latin American and Latina/o Studies;;Lincoln;Austin;;US;US;;University of Nebraska-Lincoln;University of Texas at Austin;;Center for the Digital Research in the Humanities;LLILAS Benson Latin American Studies and Collections;;;;;hispanic studies;;;;;0;2018;US;Austin;;;;;;;;;;;
Fran̤ois Dominic Laram̩e;20/02/2018;10/06/2021;3;14;2;0;0;1;7;5;3;16;0000-0001-5542-3754;1;1;1;0;0;1;1;1;3;Master;Post-doc;;Montreal;Ottawa;;CA;CA;;Concordia University;University of Ottawa;;Informatique / Computer Science;Faculty of Medicine;;Phd;;;;;;;;0;2018;CA;Ottawa;;;;;;;;;;;
Ian Milligan;27/06/2012;27/07/2018;6;0;14;0;0;4;0;10;0;14;0000-0002-1470-7723;1;0;1;0;0;1;0;1;0;Master;Intern;Associate Vice-President, Research Oversight and Analysis;Toronto;Toronto;Waterloo;CA;CA;CA;York University;University of Toronto;University of Waterloo;History;Faculty of Information Studies;;;;;history;;;;;University of Waterloo;2012;CA;Toronto;;;;;;;;;;;
Fred Gibbs;11/11/2012;10/08/2018;6;0;12;0;0;1;1;10;0;12;;0;0;1;0;0;1;1;1;0;;;;;;;;;;;;;;;;MSc;;;history;;;;;;2012;;;;;;;;;;;;;
Brandon Walsh;05/08/2016;04/12/2021;5;0;11;0;0;2;1;8;0;11;0000-0002-2785-3519;1;0;1;0;0;1;1;1;0;;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;;;Lexington;;;US;;;Washington and Lee University;;;University of Virginia;;Phd;;;digital humanities; University of Virginia;2017;USA;Charlottesville; University of Virginia;2017;USA;Charlottesville;;;;;;;;;;;
Shawn Graham;02/09/2012;04/12/2021;9;0;6;0;0;3;3;0;0;6;0000-0002-2887-3554;1;0;1;0;0;1;1;0;0;Phd;;;Reading;;;GB;;;University of Reading;;;Archaeology;;;Phd;;;digital humanities and history;;;;;;2012;GB;Reading;;;;;;;;;;;
Ryan Deschamps;31/07/2017;04/11/2018;1;0;6;0;0;1;5;0;0;6;0000-0001-7934-6845;1;0;1;0;0;1;1;0;0;;;;;;;;;;;;;;;;Phd;;;digital history;;;;;;2017;;;;;;;;;;;;;
James Baker;30/04/2014;16/10/2019;5;0;6;0;0;3;1;2;0;6;;0;0;1;0;0;1;1;1;0;;;;;;;;;;;;;;;;;;;digital history; University of Sussex;2017;UK;Brighton; University of Sussex;2017;UK;Brighton;;;;;;;;;;;
Josh MacFadyen;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;4;0000-0002-1568-8843;1;0;1;0;0;1;0;0;0;Phd;;Associate Professor;Guelph;;Charlottetown;CA;;CA;University of Guelph;;University of Prince Edward Island;History;;;R&D Engineer;;Senior Web Developer;history and environment;;;;;University of Prince Edward Island;2013;CA;Guelph;;;;;;;;;;;
Daniel Macfarlane;13/12/2013;13/12/2013;0;0;4;0;0;4;0;0;0;4;0000-0001-6268-8945;1;0;1;0;0;1;0;0;0;;;;;;;;;;;;;;;Department of Cultural Studies and Languages;Phd;;;history;;;;;;2013;;;;;;;;;;;;;
Carla Amaya;10/09/2021;10/09/2021;0;1;0;0;0;0;0;0;1;1;;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
Sarah Simpkin;13/12/2013;31/10/2017;4;0;4;0;0;1;3;0;0;4;0000-0003-0774-4777;1;0;1;0;0;1;1;0;0;MLIS;;Head, Research Support (Arts and Special Collections);London;;Ottawa;CA;;CA;Western University;;University of Ottawa;Faculty of Information and Media Studies;;Faculty of Arts;;;Assistant Professor;library science and GIS;;;;;University of Ottawa;2013;CA;London;;;;;;;;;;;
Cyrille Suire;10/09/2021;10/09/2021;0;1;0;0;0;0;1;0;0;1;;0;1;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;2021;;;;;;;;;;;;;
