pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editor;translator;total contrib;orcid_id;have_orcid;fr_contrib;en_contrib;pt_contrib;es_contrib;authors_contrib;reviewers_contrib;editor_contrib;translator_contrib;role2;city2;country2;institution2;speciality2
Zoe LeBlanc;27/07/2018;13/05/2019;1;0;3;0;0;0;2;1;0;3;0000-0003-2012-8805;1;0;1;0;0;0;1;1;0;None;None;None;None;None
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;3;0000-0003-1891-1112;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;1;0000-0002-0276-8078;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Ian Milligan;27/06/2012;27/07/2018;6;0;14;0;0;4;0;10;0;14;0000-0002-1470-7723;1;0;1;0;0;1;0;1;0;Intern;Toronto;CA;University of Toronto;Faculty of Information Studies
Aur̩lien Berra;27/06/2012;27/06/2012;0;0;1;0;0;0;1;0;0;1;0000-0002-1695-8497;1;0;1;0;0;0;1;0;0;None;None;None;None;None
Adam Crymble;27/06/2012;22/05/2019;7;0;46;0;17;20;5;38;0;63;0000-0003-4343-0265;1;0;1;0;1;1;1;1;0;Senior Lecturer;Hatfield;GB;University of Hertfordshire;History
Taylor Arnold;27/03/2017;05/05/2020;3;0;4;0;0;1;3;0;0;4;0000-0002-3575-1512;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Lauren Tilton;27/03/2017;20/08/2018;1;0;3;0;0;1;2;0;0;3;0000-0003-4629-8888;1;0;1;0;0;1;1;0;0;None;None;None;None;None
Brandon Walsh;05/08/2016;04/12/2021;5;0;11;0;0;2;1;8;0;11;0000-0002-2785-3519;1;0;1;0;0;1;1;1;0;Mellon Digital Humanities Fellow and Visiting Assistant Professor of English;Lexington;US;Washington and Lee University;University of Virginia
John Russell;05/09/2016;27/03/2017;1;0;2;0;0;0;2;0;0;2;0000-0002-7998-940X;1;0;1;0;0;0;1;0;0;None;None;None;None;None
