Viera Rebolledo-Dhuin;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;0000-0002-4903-1372;;Post-doc;;;Guyancourt;;;FR;;;Université de Versailles-Saint-Quentin-en-Yvelines;;; None;;
Antoine Henry;10/06/2021;01/04/2022;1;2;0;0;0;0;0;1;0;0;1;0000-0003-4722-4610;;;;;;;;;;;;;;;;
Isabelle Gribomont;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1;0000-0001-7443-5849;;;;;;;;;;;;;;;;
Fanny Mézard;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;;;;;
Anastasiia Zadykhina;30/07/2020;30/07/2020;0;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
Marie Puren;10/04/2019;30/07/2020;1;2;0;0;0;0;0;0;0;0;2;0000-0001-5452-3913;;Research Engineer;Post-doc;Enseignante-chercheuse;Le Chesnay;Lyon;Le Kremlin-Bicetre;FR;FR;FR;Inria;CNRS;EPITECH; None;LARHRA;" ""Méthodes Numériques pour les Sciences de l'Humain et de la Société"""
Camille Carette;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
Florian Cafiero;02/04/2020;02/04/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0002-1951-6942;;Engineer;;Visiting lecturer;Paris;;New York;FR;;US;Ecole des Hautes Etudes en Sciences Sociales;;Columbia University; None;;INCITE
Sybille Clochet;10/04/2019;10/04/2019;0;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
Anne-Sophie Bessero-Lagarde;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
Martin Grandjean;16/01/2020;16/01/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0003-3184-3943;;Phd;;;Lausanne;;;CH;;;Université de Lausanne;;; None;;
Arthur Perret;09/09/2020;09/09/2020;0;1;0;0;0;0;0;0;0;0;1;0000-0002-4130-6669;;Master;;;Villeurbanne;;;FR;;;" ""Ecole Nationale Superieur des Sciences de l'Information et des Bibliotheques""";;;" ""Sciences de l'information et des bibliothèques";;
Matthew J. Lavin;13/05/2019;13/05/2019;0;0;1;0;0;1;0;0;0;0;0;0000-0003-3867-9138;;Phd;Clinical Assistant Professor and Director of Digital Media Lab;Assistant Professor;Iowa City;Pittsburgh;Granville;US;US;US;University of Iowa;University of Pittsburgh;Denison University;English;English;Data Analytics
Quinn Dombrowski;13/05/2019;08/12/2019;0;0;2;0;0;1;1;0;0;0;0;0000-0001-5802-6623;;Digital Scholarship Specialist / IT Analyst;;;Berkeley;;;US;;;University of California Berkeley;;;Research IT;;
Catherine Nygren;13/05/2019;13/05/2019;0;0;1;0;0;0;1;0;0;0;0;;;;;;;;;;;;;;;;;
Zoe LeBlanc;27/07/2018;13/05/2019;1;0;3;0;0;0;2;1;0;0;0;0000-0003-2012-8805;;;;;;;;;;;;;;;;
Kellen Kurschinski;13/09/2013;13/09/2013;0;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;0;0;0000-0003-1891-1112;;Adjunct Faculty;;;Detroit;;;US;;;Wayne State University;;;School of Information Sciences;;
Konrad Lawson;13/09/2013;13/09/2013;0;0;1;0;0;0;1;0;0;0;0;0000-0002-0276-8078;;Phd;;;Cambridge;;;US;;;Harvard University;;;History;;
Ian Milligan;27/06/2012;27/07/2018;6;0;14;0;0;4;0;10;0;0;0;0000-0002-1470-7723;;Master;Intern;Associate Vice-President, Research Oversight and Analysis;Toronto;Toronto;Waterloo;CA;CA;CA;York University;University of Toronto;University of Waterloo;History;Faculty of Information Studies;Office of Research
Aurélien Berra;27/06/2012;27/06/2012;0;0;1;0;0;0;1;0;0;0;0;0000-0002-1695-8497;; None;;;Paris;;;FR;;;Ecole des Hautes Etudes en Sciences Sociales;;; None;;
Adam Crymble;27/06/2012;22/05/2019;7;0;46;0;17;20;5;21;0;17;0;0000-0003-4343-0265;;;Senior Lecturer;Lecturer;;Hatfield;London;;GB;GB;;University of Hertfordshire;University College London;;History;Information Studies
Taylor Arnold;27/03/2017;05/05/2020;3;0;4;0;0;1;3;0;0;0;0;0000-0002-3575-1512;;None;;;Springfield;;;US;;;Ozarks Technical Community College;;; None;;
