pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;orcid_id;digital humanities;digital history;history;literature;public history;18th century;archaeology;book history;contemporary history;digital humanities;digital libraries;education;iberian culture;information science;network analysis;political economy;sound studies;text analysis;web archives;before PH;During PH;After PH
Nicolás Vaughan;27/07/2021;16/11/2021;0;0;0;0;2;2;0;0;0;0;0;0000-0002-2877-0539;;;;;;;;;;;;;;;;;;;;Assistant Professor;;
Rocío Méndez;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;0;0;0000-0002-8801-636X;;;;;;;;;;;;;;;;;;;;;;
Iñaki Cano;27/07/2021;27/07/2021;0;0;0;0;1;0;1;0;0;0;0;0000-0002-6678-7606;1;;;;;;;;;;;;;;;;;;;;;
David Merino Recalde;16/11/2021;16/11/2021;0;0;0;0;1;0;1;0;0;0;0;0000-0003-2740-7831;1;;;;;;;;;;;;;;;;;;;Master;;
María-Jesús Colmenero-Ruiz;17/05/2017;02/06/2018;1;0;0;0;2;0;0;0;2;0;0;0000-0002-1650-1091;;;;;;;;;;;;;;;;;;;;Diplomado en Biblioteconomía y Documentación;;Professor
Maria Jose Afanador;02/06/2018;02/06/2018;0;0;0;0;1;0;0;0;0;0;1;0000-0003-2652-5799;;;;;;;;;;;;;;;;;;;;Phd;;
Miguel Cuadros;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;0;0;0000-0001-7526-1166;;;;;;;;;;;;;;;;;;;;Historian;;
Gimena del Río Riande;14/12/2021;14/12/2021;0;0;0;0;1;1;0;0;0;0;0;0000-0002-8997-5415;1;;;;;;;;;;;;;;;;;;;;;
Melissa Jerome;14/12/2021;14/12/2021;0;0;0;0;1;0;1;0;0;0;0;0000-0001-8251-7131;;;;;;;;;;;;;;;;;;;;;Project Manager;Librarian
María Pilar Escobar;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;0000-0002-8977-7873;;;;;;;;;;;;;;;;;;;;;;
Manuel Marco Such;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;0000-0002-4145-0521;;;;;;;;;;;;;;;;;;;;;;
Gimena del Rio Riande;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;0000-0002-8997-5415;1;;;;;;;;;;;;;;;;;;;;;
Romina De León;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;0000-0003-2495-7213;;;;;;;;;;;;;;;;;;;;docente;;
Raffaele Viglianti;01/03/2021;01/03/2021;0;0;0;0;1;0;0;0;1;0;0;0000-0003-3094-139X;;;;;;;;;;;;;;;;;;;;Phd;;
Ulrike Henny-Krahmer;31/10/2018;31/10/2018;0;0;0;0;1;0;0;0;1;0;0;0000-0003-2852-065X;1;;;;;;;;;;;;;;;;;;; None;Research Assistant;"Junior Academy Professor for ""Digital Humanities"""
