pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer
Ruben Verborgh;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0
Max De Wilde;05/08/2013;05/08/2013;0;0;1;0;0;1;0;0;0;0;0
Patrick Burns;22/06/2013;08/12/2019;6;0;3;0;0;0;3;0;0;0;0
Nora McGregor;05/08/2013;05/08/2013;0;0;1;0;0;0;1;0;0;0;0
Laura Turner O'Hara;22/05/2013;22/05/2013;0;0;1;0;0;1;0;0;0;0;0
Thomas Jurczyk;29/09/2021;29/09/2021;0;0;1;0;0;1;0;0;0;0;0
Melanie Walsh;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0
Luling Huang;29/09/2021;29/09/2021;0;0;1;0;0;0;1;0;0;0;0
Alex Wermer-Colan;29/09/2021;29/09/2021;0;0;1;0;0;0;0;1;0;0;0
William J. Turkel;17/07/2012;17/12/2014;2;0;20;0;0;17;1;2;0;0;0
Jim Clifford;17/07/2012;29/08/2017;5;0;22;0;0;4;18;0;0;0;0
Miriam Posner;17/07/2012;24/02/2016;4;0;19;0;0;2;0;17;0;0;0
Scholars' Lab Community;23/11/2020;23/11/2020;0;0;1;0;0;1;0;0;0;0;0
Jesse Sadler;03/05/2018;23/11/2020;2;0;2;0;0;0;2;0;0;0;0
M. Willis Monroe;23/11/2020;23/11/2020;0;0;1;0;0;0;1;0;0;0;0
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;0;0
John R. Ladd;23/08/2017;05/05/2020;3;0;2;0;0;2;0;0;0;0;0
Sarah Connell;05/05/2020;05/05/2020;0;0;1;0;0;0;1;0;0;0;0
Heather Froehlich;19/06/2015;19/06/2015;0;0;1;0;0;1;0;0;0;0;0
Nabeel Siddiqui;19/06/2015;31/07/2017;2;0;2;0;0;1;1;0;0;0;0
Rob Sieczkiewicz;19/06/2015;19/06/2015;0;0;1;0;0;0;1;0;0;0;0
Ryan Deschamps;31/07/2017;04/11/2018;1;0;6;0;0;1;5;0;0;0;0
Sandra van Ginhoven;13/09/2017;13/09/2017;0;0;1;0;0;0;1;0;0;0;0
Matthew Lincoln;24/05/2016;04/11/2018;2;0;4;0;0;1;1;2;0;0;0
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;0;0
Megan R. Brett;24/02/2016;24/02/2016;0;0;1;0;0;1;0;0;0;0;0
Sheila Brennan;24/02/2016;24/02/2016;0;0;1;0;0;0;1;0;0;0;0
