pers;date_begin;date_end;date diff;fr;en;pt;es;authors;reviewers;editors;translator;translation-editor;translation-reviewer;total_contrib;orcid;
Simon Hengchen;16/05/2021;16/05/2021;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-8453-7221;
Jessica Otis;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;1;0000-0001-5519-8331;
Christopher N. Warren;23/08/2017;23/08/2017;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-9881-682X;
Stephen Krewson;14/01/2019;14/01/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-6086-0649;
Evan Peter Williamson;12/08/2017;12/08/2017;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-7990-9924;
Susan Grunewald;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-1275-4101;
Andrew Janco;11/02/2022;11/02/2022;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-8872-9474;
Jon Crump;25/11/2014;25/11/2014;0;0;1;0;0;1;0;0;0;0;0;1;;
Justin Colson;27/01/2017;27/01/2017;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-4352-2154;
Beatrice Alex;31/10/2017;31/10/2017;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-7279-1476;
Eric Weinberg;20/08/2018;20/08/2018;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-3311-1060;
Jeff Blackadar;03/05/2018;03/05/2018;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-8160-0942;
Jonathan Reeve;24/07/2016;24/07/2016;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-2827-1569;
Gabi Kirilloff;04/12/2021;04/12/2021;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-2696-1419;
Ted Dawson;21/07/2016;21/07/2016;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-9192-6233;
Go Sugimoto;22/05/2019;22/05/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-2646-6784;
Tassie Gniady;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0001-8693-3677;
David Kloster;08/12/2019;08/12/2019;0;0;1;0;0;1;0;0;0;0;0;1;0000-0001-8577-8409;
Kim Pham;29/08/2017;29/08/2017;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-9115-4739;
Vilja Hulden;17/12/2014;17/12/2014;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-3812-7010;
Andrew Akhlaghi;06/01/2021;06/01/2021;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-0824-3328;
Taryn Dewar;05/09/2016;05/09/2016;0;0;1;0;0;1;0;0;0;0;0;1;;
Dennis Tenen;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;0;0;1;;
Grant Wythoff;19/03/2014;19/03/2014;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-6605-9596;
Alex Brey;04/11/2018;04/11/2018;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-3201-8462;
Peter Organisciak;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-9058-2280;
Boris Capitanu;22/11/2016;22/11/2016;0;0;1;0;0;1;0;0;0;0;0;1;;
Seth Bernstein;04/10/2013;04/10/2013;0;0;1;0;0;1;0;0;0;0;0;1;0000-0001-5116-3828;
Doug Knox;22/06/2013;22/06/2013;0;0;1;0;0;1;0;0;0;0;0;1;;
Stephanie J. Richmond;24/04/2017;24/04/2017;0;0;1;0;0;1;0;0;0;0;0;1;;
Tommy Tavenner;24/04/2017;24/04/2017;0;0;1;0;0;1;0;0;0;0;0;1;;
Charlie Harper;27/07/2018;27/07/2018;0;0;1;0;0;1;0;0;0;0;0;1;0000-0003-3781-5812;
Moritz Mähr;30/01/2020;30/01/2020;0;0;1;0;0;1;0;0;0;0;0;1;0000-0002-1367-1618;
Jairo Antonio Melo Flórez;30/03/2020;30/03/2020;0;0;0;0;1;1;0;0;0;0;0;1;;
Armando Luza;01/04/2019;01/04/2019;0;0;0;0;1;1;0;0;0;0;0;1;0000-0001-5679-7360;
Anthony Picón Rodríguez;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;0;0;1;0000-0001-6765-4146;
Miguel Cuadros;11/07/2020;11/07/2020;0;0;0;0;1;1;0;0;0;0;0;1;0000-0001-7526-1166;
Gimena del Río Riande;14/12/2021;14/12/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-8997-5415;
María Dolores Sáez;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;1;;
María Pilar Escobar;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-8977-7873;
Manuel Marco Such;30/08/2021;30/08/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-4145-0521;
Marcelo Raimundo;28/06/2021;28/06/2021;0;0;0;0;1;1;0;0;0;0;0;1;0000-0002-0200-6399;
Antonio Rojas Castro;15/03/2017;11/12/2020;3;0;1;0;45;0;2;1;1;14;28;46;0000-0002-8916-4997;
Maria José Afanador-Llach;15/03/2017;30/08/2021;4;0;0;0;32;0;0;3;2;6;21;32;0000-0003-2652-5799;
Víctor Gayol;15/03/2017;30/08/2021;4;0;0;0;28;0;1;0;24;1;2;28;0000-0002-2442-3193;
Jairo A. Melo;15/03/2017;07/10/2017;0;0;0;0;20;0;0;0;1;0;19;20;0000-0002-8174-4524;
Antoine Champigny;19/06/2019;19/06/2019;0;1;0;0;0;0;0;0;0;0;1;1;;
Frederik Elwert;17/07/2012;01/12/2015;3;0;10;0;0;0;10;0;0;0;0;10;0000-0001-9149-9377;
Jimmy Medeiros;26/03/2021;02/03/2022;1;0;0;10;0;0;0;0;0;10;0;10;0000-0002-8280-3338;
José Antonio Motilla;26/04/2017;11/04/2022;5;0;0;0;10;0;1;1;1;2;5;10;0000-0003-0591-5560;
Amanda Morton;17/07/2012;01/12/2015;3;0;7;0;0;0;7;0;0;0;0;7;;
Felipe Lamarca;26/03/2021;13/01/2022;1;0;0;7;0;0;0;0;4;0;3;7;0000-0003-0002-3627;
Danielle Sanches;12/05/2021;02/07/2021;0;0;0;7;0;0;0;0;0;6;1;7;;
Bruno Martins;30/03/2021;13/05/2021;0;0;0;7;0;0;0;0;0;0;7;7;0000-0002-8102-9416;
Riva Quiroga;13/05/2018;11/04/2022;4;0;0;0;7;0;2;1;1;0;3;7;0000-0002-1147-4135;
Joana Vieira Paulino;29/01/2021;13/01/2022;1;0;0;6;0;0;0;0;0;3;3;6;0000-0002-9433-2799;
Guillaume Florent;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;1;0000-0002-4553-8993;
Jeri Wieringa;21/07/2016;08/12/2019;3;0;5;0;0;0;1;4;0;0;0;5;0000-0002-9364-2808;
Anna-Maria Sichani;18/03/2019;11/02/2022;3;0;5;0;0;0;0;5;0;0;0;5;0000-0001-6778-4610;
Renato Rocha Souza;13/05/2021;13/05/2021;0;0;0;5;0;0;0;0;0;0;5;5;0000-0002-1895-3905;
Jessica Parr;29/08/2017;23/11/2020;3;0;4;0;0;0;0;4;0;0;0;4;0000-0003-4981-1587;
Finn Arne Jørgensen;13/12/2013;13/12/2013;0;0;4;0;0;0;4;0;0;0;0;4;0000-0003-3696-4189;
Ian Araujo;14/06/2021;02/03/2022;1;0;0;4;0;0;0;0;0;0;4;4;0000-0001-6359-4991;
Diana Rebelo Rodriguez;13/07/2021;02/03/2022;1;0;0;4;0;0;0;0;4;0;0;4;;
Josir C. Gomes;13/05/2021;13/05/2021;0;0;0;4;0;0;0;0;4;0;0;4;;
Victor Gayol;02/06/2018;05/06/2020;2;0;0;0;4;0;0;0;1;2;1;4;0000-0002-2442-3193;
Lizzie Scholtus;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;1;0000-0001-8627-8991;
Marie-Anne Vibet;24/03/2021;24/03/2021;0;1;0;0;0;0;1;0;0;0;0;1;0000-0003-4003-3141;
Zoe LeBlanc;27/07/2018;13/05/2019;1;0;3;0;0;0;2;1;0;0;0;3;0000-0003-2012-8805;
Nick Ruest;13/09/2013;29/08/2017;4;0;3;0;0;0;3;0;0;0;0;3;0000-0003-1891-1112;
Patrick Burns;22/06/2013;08/12/2019;6;0;3;0;0;0;3;0;0;0;0;3;0000-0003-2158-866X;
Anandi Silva Knuppel;15/01/2018;14/01/2019;1;0;3;0;0;0;2;1;0;0;0;3;;
Catherine DeRose;22/11/2016;30/01/2020;4;0;3;0;0;0;3;0;0;0;0;3;0000-0002-0384-7704;
Josir Cardoso Gomes;26/03/2021;14/06/2021;0;0;0;3;0;0;0;0;0;2;1;3;0000-0001-7629-1404;
Gabriela Kucuruza;26/03/2021;02/07/2021;0;0;0;3;0;0;0;0;3;0;0;3;;
Daniel Alves;26/03/2021;02/07/2021;0;0;0;3;0;0;0;0;0;2;1;3;;
Rômulo Predes;12/05/2021;13/07/2021;0;0;0;3;0;0;0;0;0;0;3;3;0000-0001-9461-7834;
Déborah Dubald;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-2128-0641;
Catherine Paulin;10/04/2020;10/04/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0002-3440-6039;
Carla Amaya;10/09/2021;10/09/2021;0;1;0;0;0;0;0;0;1;0;0;1;;
Cyrille Suire;10/09/2021;10/09/2021;0;1;0;0;0;0;0;0;0;0;1;1;;
Antoine Gourlay;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;1;0;0;1;0000-0002-1016-213X;
John Russell;05/09/2016;27/03/2017;1;0;2;0;0;0;2;0;0;0;0;2;0000-0002-7998-940X;
Jesse Sadler;03/05/2018;23/11/2020;2;0;2;0;0;0;2;0;0;0;0;2;;
Megan Kudzia;02/04/2018;17/05/2021;3;0;2;0;0;0;2;0;0;0;0;2;0000-0003-0900-6823;
Sharon Howard;11/11/2012;30/04/2014;2;0;2;0;0;0;2;0;0;0;0;2;0000-0002-6051-6274;
Peter Webster;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;0;0;2;0000-0001-6801-0852;
Abby Schreiber;13/12/2013;13/12/2013;0;0;2;0;0;0;2;0;0;0;0;2;0000-0003-2350-049X;
John Fink;02/09/2012;13/11/2015;3;0;2;0;0;0;2;0;0;0;0;2;0000-0001-5301-5626;
Allison Hegel;20/09/2014;20/09/2014;0;0;2;0;0;0;2;0;0;0;0;2;0000-0001-7750-7246;
Erin N. Bush;21/07/2016;24/04/2017;1;0;2;0;0;0;2;0;0;0;0;2;0000-0002-5958-9038;
Ana Giulia Aldgeire;19/11/2021;02/03/2022;1;0;0;2;0;0;0;0;0;0;2;2;;
Daniel Bonatto Seco;17/12/2021;18/12/2021;0;0;0;2;0;0;0;0;0;0;2;2;;
Aracele Torres;12/05/2021;13/05/2021;0;0;0;2;0;0;0;0;2;0;0;2;0000-0002-5240-060X;
Ivo Veiga;21/05/2021;28/08/2021;0;0;0;2;0;0;0;0;0;0;2;2;0000-0001-8385-3030;
Maria Guedes;29/01/2021;13/07/2021;0;0;0;2;0;0;0;0;0;0;2;2;;0000-0002-6766-4376
Basthian Medina;28/06/2021;11/04/2022;1;0;0;0;2;0;1;0;1;0;0;2;0000-0001-5822-5112;
Silvia Gutiérrez;02/06/2018;11/04/2022;4;0;0;0;2;0;0;0;0;0;2;2;;
Antonio Sánchez-Padial;13/05/2018;23/04/2019;1;0;0;0;2;0;0;0;0;0;2;2;0000-0001-9532-3133;
Joseba Moreno;23/04/2018;20/08/2018;0;0;0;0;2;0;0;0;0;0;2;2;0000-0002-6756-4404;
María-Jesús Colmenero-Ruiz;17/05/2017;02/06/2018;1;0;0;0;2;0;0;0;2;0;0;2;0000-0002-1650-1091;
Gwenaëlle Patat;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;1;0;1;0000-0002-8520-3485;
Floriane Chiffoleau;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-4482-7897;
Jean-Luc Mirepoix;19/11/2021;19/11/2021;0;1;0;0;0;0;0;0;0;0;1;1;;
Lucas Terriel;06/01/2021;06/01/2021;0;1;0;0;0;0;0;0;1;0;0;1;0000-0002-9189-258X;
Matthias Gille Levenson;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;1;0;1;0000-0001-9488-5986;
Alexandre Bartz;06/10/2021;06/10/2021;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-0850-8266;
Géraldine Castel;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;1;0;0;1;;
Antoine Courtin;09/05/2020;09/05/2020;0;1;0;0;0;0;0;0;0;0;1;1;0000-0003-0275-5143;
Manon Durier;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;1;0000-0001-5318-9167;
Morgane Pica;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;1;;
Viera Rebolledo-Dhuin;01/04/2022;01/04/2022;0;1;0;0;0;0;1;0;0;0;0;1;0000-0002-4903-1372;
Isabelle Gribomont;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1;1;0000-0001-7443-5849;
Fanny Mézard;03/05/2019;03/05/2019;0;1;0;0;0;0;0;0;0;0;1;1;;
Anastasiia Zadykhina;30/07/2020;30/07/2020;0;1;0;0;0;0;0;0;1;0;0;1;;
