name;orcid_id
Josir Cardoso Gomes;0000-0001-7629-1404
Bruno Ponne;0000-0002-3057-932X
Ian Araujo;0000-0001-6359-4991
Jimmy Medeiros;0000-0002-8280-3338
Joana Vieira Paulino;0000-0002-9433-2799
Luis Ferla;0000-0003-3617-2560
Felipe Lamarca;0000-0003-0002-3627
Bruno Martins;0000-0002-8102-9416
Renato Rocha Souza;0000-0002-1895-3905
João Gilberto Neves Saraiva;0000-0002-2094-8216
Rômulo Predes;0000-0001-9461-7834
Mariana Affonso Penna;0000-0001-5415-795X
Aracele Torres;0000-0002-5240-060X
Ivo Veiga;0000-0001-8385-3030
Romulo Predes;0000-0001-9461-7834
Suemi Higuchi;0000-0002-6255-3781
Samuel Van Ransbeeck;0000-0001-6959-6605
Juliana Marques da Silva;0000-0002-1637-8505
Jennifer Isasi;0000-0002-4295-895X
Victor Gayol;0000-0002-2442-3193
Riva Quiroga;0000-0002-1147-4135
Carlos Manuel Varón Castañeda;0000-0001-9581-5007
Basthian Medina;0000-0001-5822-5112
José Antonio Motilla;0000-0003-0591-5560
Maria José Afanador-Llach;0000-0003-2652-5799
Antonio Sánchez-Padial;0000-0001-9532-3133
María José Afanador-Llach;0000-0003-2652-5799
Víctor Gayol;0000-0002-2442-3193
Jairo A. Melo;0000-0002-8174-4524
Armando Luza;0000-0001-5679-7360
Ignacio Rodríguez;0000-0002-3752-9536
Joseba Moreno;0000-0002-6756-4404
Joshua Ortiz-Baco;0000-0002-9723-4262
José Calvo Tello;0000-0002-1129-5604
Andrés Gattinoni;0000-0001-6741-6746
Antonio Jesús Sánchez Padial;0000-0001-9532-3133
Joshua G. Ortiz Baco;0000-0002-9723-4262
Juan Cobo;0000-0003-4776-0261
Nicolás Vaughan;0000-0002-2877-0539
Rocío Méndez;0000-0002-8801-636X
Iñaki Cano;0000-0002-6678-7606
David Merino Recalde;0000-0003-2740-7831
María-Jesús Colmenero-Ruiz;0000-0002-1650-1091
Maria Jose Afanador;0000-0003-2652-5799
Anthony Picón Rodríguez;0000-0001-6765-4146
Miguel Cuadros;0000-0001-7526-1166
Gimena del Río Riande;0000-0002-8997-5415
Melissa Jerome;0000-0001-8251-7131
María Pilar Escobar;0000-0002-8977-7873
Manuel Marco Such;0000-0002-4145-0521
Gimena del Rio Riande;0000-0002-8997-5415
Romina De León;0000-0003-2495-7213
Raffaele Viglianti;0000-0003-3094-139X
Kahlila Chaar-Pérez;0000-0001-7038-5450
Mathilda Shepard;0000-0002-3416-448X
Ulrike Henny-Krahmer;0000-0003-2852-065X
Marcelo Raimundo;0000-0002-0200-6399
